denovo0	79_denovo1
denovo1	79_denovo3
denovo2	79_denovo2
denovo3	29_denovo6
denovo4	29_denovo7
denovo5	29_denovo4
denovo6	29_denovo5
denovo7	29_denovo2
denovo8	29_denovo3
denovo9	29_denovo0
denovo10	29_denovo1
denovo11	32_denovo6
denovo12	32_denovo5
denovo13	10_denovo21
denovo14	10_denovo20
denovo15	10_denovo23
denovo16	10_denovo22	9_denovo13
denovo17	62_denovo1
denovo18	51_denovo3
denovo19	51_denovo1
denovo20	51_denovo5
denovo21	51_denovo4
denovo22	40_denovo7
denovo23	40_denovo1
denovo24	40_denovo0
denovo25	40_denovo3
denovo26	86_denovo2
denovo27	86_denovo0
denovo28	3_denovo4
denovo29	3_denovo3
denovo30	3_denovo2
denovo31	3_denovo1	53_denovo2	58_denovo2	74_denovo3
denovo32	3_denovo0
denovo33	48_denovo5
denovo34	48_denovo4
denovo35	48_denovo1
denovo36	9_denovo15
denovo37	9_denovo14
denovo38	9_denovo11
denovo39	9_denovo10
denovo40	9_denovo12
denovo41	54_denovo10
denovo42	54_denovo11
denovo43	54_denovo12
denovo44	32_denovo8
denovo45	32_denovo2
denovo46	15_denovo0	16_denovo2	20_denovo1	29_denovo8	30_denovo0	37_denovo1	48_denovo0	4_denovo3	50_denovo1	57_denovo4	62_denovo0	64_denovo1	70_denovo1	83_denovo1	86_denovo1	28_denovo1	2_denovo17	34_denovo7	38_denovo2	56_denovo0	53_denovo3	87_denovo0
denovo47	15_denovo4
denovo48	32_denovo0
denovo49	47_denovo4
denovo50	32_denovo1	66_denovo5
denovo51	47_denovo2
denovo52	47_denovo3	74_denovo5	8_denovo0	21_denovo4
denovo53	47_denovo0
denovo54	47_denovo1
denovo55	65_denovo1
denovo56	6_denovo3
denovo57	6_denovo0
denovo58	12_denovo1
denovo59	12_denovo2
denovo60	12_denovo3
denovo61	26_denovo6
denovo62	52_denovo0
denovo63	52_denovo2
denovo64	66_denovo1
denovo65	66_denovo0
denovo66	66_denovo3
denovo67	66_denovo2
