denovo160	cylindrus.fasta_denovo16
denovo161	cylindrus.fasta_denovo17
denovo162	cylindrus.fasta_denovo14
denovo163	cylindrus.fasta_denovo15
denovo164	cylindrus.fasta_denovo12
denovo165	annularis.fasta_denovo6
denovo166	cylindrus.fasta_denovo10
denovo167	cylindrus.fasta_denovo11
denovo168	astreoides.fasta_denovo2
denovo169	astreoides.fasta_denovo1
denovo170	astreoides.fasta_denovo0
denovo171	astreoides.fasta_denovo7
denovo172	astreoides.fasta_denovo6	cylindrus.fasta_denovo4	radians.fasta_denovo12
denovo173	astreoides.fasta_denovo5
denovo174	astreoides.fasta_denovo4
denovo175	astreoides.fasta_denovo9	cylindrus.fasta_denovo13	furcata.fasta_denovo31	siderea.fasta_denovo11	alcicornis.fasta_denovo14	cavernosa.fasta_denovo2	strigosa.fasta_denovo4	radians.fasta_denovo18
denovo176	astreoides.fasta_denovo8
denovo177	radians.fasta_denovo13
denovo178	radians.fasta_denovo11
denovo179	siderea.fasta_denovo22
